id,bloodline,breed_type,genotype,hash_info.name,win_rate,number_of_races,parents.father.bloodline,parents.father.breed_type,parents.father.genotype,parents.father.hash_info.name,parents.father.win_rate,parents.father.number_of_races,parents.mother.bloodline,parents.mother.breed_type,parents.mother.genotype,parents.mother.hash_info.name,parents.mother.win_rate,parents.mother.number_of_races
15277,Szabo,legendary,Z7,love,0.0,0,Szabo,genesis,Z3,Grin,20.0,30.0,Szabo,genesis,Z4,Renaissance Robot,0.0,0.0
15278,Buterin,legendary,Z20,Christmas Boy,23.81,21,Buterin,genesis,Z10,Real Good,14.29,14.0,Buterin,genesis,Z10,Holy Sign,9.68,31.0
15279,Szabo,legendary,Z7,Norse's Favour,11.11,27,Szabo,genesis,Z4,Norseback,17.36,121.0,Szabo,genesis,Z3,Favourable,20.0,40.0
15280,Szabo,exclusive,Z6,Danielles Emergence,3.13,32,Nakamoto,legendary,Z2,WalterWhite,28.57,7.0,Szabo,genesis,Z4,Dagwood Dreams,0.0,0.0
15281,Szabo,exclusive,Z10,Safety Net,0.0,5,Szabo,legendary,Z6,Light In The Night,20.0,40.0,Szabo,genesis,Z4,Lincoln Lawyer,0.0,0.0
15282,Nakamoto,exclusive,Z4,Brooklyn Stand Up,0.0,0,Nakamoto,legendary,Z2,Jolene,11.34,97.0,Nakamoto,legendary,Z2,Inevitable,18.42,38.0
15283,Buterin,legendary,Z17,Fast Farming,33.33,3,Buterin,genesis,Z8,Speed The Plough,10.0,20.0,Buterin,genesis,Z9,I am Speed,0.0,0.0
15284,Buterin,legendary,Z17,Joel Embiid,0.0,0,Buterin,genesis,Z8,The Gun Show,14.61,89.0,Buterin,genesis,Z9,Magic Ray,0.0,1.0
15285,Buterin,exclusive,Z11,Justin Beiber,0.0,0,Nakamoto,legendary,Z2,Thanos,0.0,2.0,Buterin,genesis,Z9,Race To Glory,100.0,1.0
15286,Buterin,legendary,Z17,I Am Plough,0.0,3,Buterin,genesis,Z8,Speed The Plough,10.0,20.0,Buterin,genesis,Z9,I am Speed,0.0,0.0
15287,Buterin,legendary,Z16,Skye,0.0,2,Finney,genesis,Z6,So LA,11.67,60.0,Buterin,genesis,Z10,Perignon,0.0,13.0
15288,Nakamoto,legendary,Z2,Secret Harmonies,0.0,0,Nakamoto,genesis,Z1,Harmony,7.69,13.0,Nakamoto,genesis,Z1,Dangerous Secret,0.0,0.0
15289,Buterin,exclusive,Z26,Swing On,0.0,3,Buterin,genesis,Z8,I'm Ready,5.0,20.0,Buterin,legendary,Z18,Pardonnez Moi,5.38,130.0
15290,Buterin,elite,Z12,King Kong,0.0,5,Nakamoto,exclusive,Z4,I Have Spoken,4.17,24.0,Buterin,genesis,Z8,Old Faithful,0.0,1.0
15291,Buterin,exclusive,Z11,Megan Thee Stallion,0.0,9,Nakamoto,legendary,Z2,Thanos,0.0,2.0,Buterin,genesis,Z9,Closer To The Truth,4.0,25.0
15292,Buterin,exclusive,Z12,A Horse,0.0,1,Buterin,genesis,Z8,Speed The Plough,10.0,20.0,Szabo,legendary,Z4,Gai Waterhouse,9.84,61.0
15293,Buterin,legendary,Z20,Condia,0.0,0,Buterin,genesis,Z10,The Rundown,0.0,14.0,Buterin,genesis,Z10,Secret Missile,18.18,11.0
15294,Buterin,exclusive,Z12,Wrong Name,0.0,1,Buterin,genesis,Z8,Speed The Plough,10.0,20.0,Szabo,legendary,Z4,Gai Waterhouse,9.84,61.0
15295,Nakamoto,legendary,Z2,Danger Mouse,0.0,0,Nakamoto,genesis,Z1,Harmony,7.69,13.0,Nakamoto,genesis,Z1,Dangerous Secret,0.0,0.0
15296,Buterin,elite,Z13,Steph Curry,29.09,55,Nakamoto,exclusive,Z4,I Have Spoken,4.17,24.0,Buterin,genesis,Z9,Closer To The Truth,4.0,25.0
15297,Buterin,legendary,Z17,Tom Waterhouse,0.0,3,Buterin,genesis,Z8,Speed The Plough,10.0,20.0,Buterin,genesis,Z9,Contemplating,0.0,0.0
15298,Buterin,exclusive,Z12,Shrimpiee,0.0,12,Nakamoto,legendary,Z2,WalterWhite,28.57,7.0,Buterin,genesis,Z10,Right Place Right Time,5.88,17.0
15299,Buterin,exclusive,Z11,She Makes Me Blue,0.0,41,Nakamoto,legendary,Z2,WalterWhite,28.57,7.0,Buterin,genesis,Z9,Mazden Star,3.33,90.0
15300,Buterin,legendary,Z17,Guy Waterhouse,0.0,4,Buterin,genesis,Z8,Speed The Plough,10.0,20.0,Buterin,genesis,Z9,Contemplating,0.0,0.0
